Sample,Test_Index,Actual_7d,Prior_7d,Posterior_7d,Actual_28d,Prior_28d,Posterior_28d,Prior_Error_7d,Post_Error_7d,Prior_Error_28d,Post_Error_28d,Improvement_7d,Improvement_28d
1,110,53.8,49.7,52.5,55.0,52.5,54.3,4.1,1.3,2.5,0.7,2.8,1.8
2,527,30.0,38.9,32.4,33.7,43.9,36.4,8.9,2.4,10.2,2.7,6.5,7.5
3,567,56.4,50.0,54.6,59.1,56.1,58.4,6.4,1.7,3.0,0.7,4.6,2.2
4,77,46.2,45.0,45.7,48.9,48.3,48.6,1.2,0.5,0.6,0.3,0.7,0.4
5,181,35.2,29.6,33.9,36.8,33.3,36.0,5.6,1.3,3.5,0.8,4.2,2.7
6,284,13.3,14.1,13.3,16.6,21.8,17.5,0.8,0.0,5.2,0.9,0.8,4.3
7,10,28.3,24.0,26.3,35.4,28.2,31.9,4.3,2.0,7.3,3.5,2.3,3.8
8,519,19.0,26.9,20.9,33.8,40.2,35.5,7.9,1.9,6.4,1.7,6.0,4.6
9,78,49.4,45.7,47.9,51.5,48.9,50.4,3.7,1.6,2.6,1.1,2.1,1.5
10,349,28.8,27.8,28.4,35.0,31.9,33.8,1.0,0.4,3.1,1.1,0.6,1.9
